product_name,model,link,ryans_price,brand,picLink,capacity,description
Toshiba 500GB 2.5 Inch SATA 5400RPM Notebook HDD #MQ01ABD050/MQ01ABF050M/HDWK105UZSVA,Toshiba MQ01ABD050/MQ01ABF050M/HDWK105UZSVA,https://ryanscomputers.com/storage/internal-hdd/toshiba-500gb-2-5-inch-sata-5400rpm-notebook-hdd-mq01abd050-mq01abf050m-hdwk105uzsva.html,"3,450

",500GB,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/m/q/mq01abf050m.jpg,500GB,"Model - Toshiba MQ01ABD050/MQ01ABF050M/HDWK105UZSVA
 Storage (GB) - 500GB
 Type - SATA Notebook HDD
 RPM - 5400RPM
 Seek Time (ms) - 12ms
 Buffer (MB) - 8MB
 From Factor (Inch) - 2.5 Inch
 Interface - SATA 6.0Gb/s
 Warranty - 2 year
 Part No - MQ01ABD050/MQ01ABF050M & HDWK105UZSVA"
Western Digital Blue 500GB SATA 5400RPM 2.5 Inch Notebook HDD #WD5000LPCX,Western Digital Blue,https://ryanscomputers.com/western-digital-blue-500gb-sata-5400rpm-2-5-inch-notebook-hdd-wd5000lpcx.html,"3,550

",500GB HDD,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/w/d/wd5000lpcx-1.jpg,500GB HDD,"Model - Western Digital Blue
 Storage (GB) - 500GB HDD
 Type - SATA Notebook HDD
 RPM - 5400RPM
 Buffer (MB) - 16MB
 From Factor (Inch) - 2.5 Inch
 Interface - SATA 6Gb/s
 Others - Load/Unload cycle: 600
000
 Dimension: 69.85 x 7.0 x 100.20mm
 Weight: 0.09Kg
 Part No - WD5000LPCX
 Warranty - 2 Year"
Western Digital Blue 1TB 3.5 Inch SATA 7200RPM Desktop HDD #WD10EZEX,Western Digital Blue WD10EZEX,https://ryanscomputers.com/storage/internal-hdd/western-digital-blue-1tb-3-5-inch-sata-7200rpm-desktop-hdd-wd10ezex.html,"3,600

",1TB,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/w/d/wd10ezex.jpg,1TB,"Model - Western Digital Blue WD10EZEX
 Storage (GB) - 1TB
 Type - SATA Desktop HDD
 RPM - 7200RPM
 Seek Time (ms) - 8.9ms
 Buffer (MB) - 64MB
 From Factor (Inch) - 3.5 Inch
 Interface - SATA
 Transfer Rate (MB/s) - 3072 MB/s
 Warranty - 2 year
 Part No - WD10EZEX"
Seagate Barracuda 1TB 3.5 Inch SATA 7200RPM Desktop HDD #ST1000DM010,Seagate Barracuda ST1000DM010,https://ryanscomputers.com/storage/internal-hdd/seagate-barracuda-1tb-3-5-inch-sata-7200rpm-desktop-hdd-st1000dm010.html,"3,600

",1TB,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/s/t/st1000dm010.jpg,1TB,"Model - Seagate Barracuda ST1000DM010
 Storage (GB) - 1TB
 Type - SATA Desktop HDD
 RPM - 7200RPM
 From Factor (Inch) - 3.5 Inch
 Interface - 6.0Gb/s
 Part No - ST1000DM010
 Warranty - 2 Year"
Toshiba 1TB 3.5 Inch SATA 7200RPM Desktop HDD #DT01ACA100/HDWD110UZSVA,Toshiba P300/DT01ACA100,https://ryanscomputers.com/toshiba-1tb-3-5-inch-sata-7200rpm-desktop-hdd-dt01aca100-hdwd110uzsva.html,"3,600

",1TB HDD,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/h/d/hdwd110uzsva.jpg,1TB HDD,"Model - Toshiba P300/DT01ACA100
 Storage (GB) - 1TB HDD
 Type - SATA HDD
 RPM - 7200RPM
 Seek Time (ms) - 4.17ms
 Buffer (MB) - 64MB
 From Factor (Inch) - 3.5 Inch
 Interface - SATA 6Gb/s
 Part No - DT01ACA100/HDWD110UZSVA
 Warranty - 2 year"
Toshiba 1TB 2.5 Inch SATA 5400RPM Notebook HDD #MQ04ABF100/HDWL110UZSVA,Toshiba MQ04ABF100,https://ryanscomputers.com/storage/internal-hdd/toshiba-1tb-2-5-inch-sata-5400rpm-notebook-hdd-mq04abf100-hdwl110uzsva.html,"4,200

",1TB,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/m/q/mq04abf100-1.jpg,1TB,"Model - Toshiba MQ04ABF100
 Storage (GB) - 1TB
 Type - SATA Notebook HDD
 RPM - 5400RPM
 Buffer (MB) - 128MB
 From Factor (Inch) - 2.5 Inch
 Interface - SATA 6.0Gb/s
 Warranty - 2 year
 Others - Average Latency Time: 5.56 ms
 MTTF: 600
000 hours
 Weight: 92gm
 Specialty - Improved Performance with Native Command Queue (NCQ)
 Optimize HDD Health with SMART
 Advanced Format (AF) 512e Sector Technology
 MTTF of 600
000 hours
 Part No - MQ04ABF100/HDWL110UZSVA"
Seagate 1TB SATA Desktop HDD #ST1000DM010,Seagate ST1000DM010,https://ryanscomputers.com/seagate-1tb-sata-desktop-hdd-st1000dm010.html,"4,200

",1TB,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/s/t/st1000dm010-01.jpg,1TB,"Model
Seagate ST1000DM010
 Storage (GB) - 1TB
 Type - SATA Desktop HDD
 RPM - 7200RPM
 Buffer (MB) - 64MB
 Interface - SATA 6.0Gb/s
 Warranty - 2 year
 Part No - ST1000DM010
Seagate ST1000DM010"
Toshiba 2TB 3.5 Inch SATA 7200RPM Desktop HDD#DT01ACA200,Toshiba DT01ACA200 2TB,https://ryanscomputers.com/storage/internal-hdd/toshiba-2tb-3-5-inch-sata-7200rpm-desktop-hdd-dt01aca200.html,"5,000

",2TB,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/d/t/dt01aca200.jpg,2TB,"Model - Toshiba DT01ACA200 2TB
 Storage (GB) - 2TB
 Type - SATA Desktop HDD
 RPM - 7200RPM
 Seek Time (ms) - 8.5ms
 Buffer (MB) - 64MB
 From Factor (Inch) - 3.5 Inch
 Interface - SATA 6.0 Gb/s
 Transfer Rate (MB/s) - 1.5-3.0 Gbps
 Warranty - 2 year
 Part No - DT01ACA200"
Toshiba 2TB 3.5 Inch SATA 7200RPM Desktop HDD #HDWD120UZSVA,Toshiba HDWD120UZSVA,https://ryanscomputers.com/toshiba-2tb-3-5-inch-sata-7200rpm-desktop-hdd-hdwd120uzsva.html,"5,000

",2TB HDD,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/h/d/hdwd120uzsva.jpg,2TB HDD,"Model - Toshiba HDWD120UZSVA
 Storage (GB) - 2TB HDD
 Type - SATA HDD
 RPM - 7200RPM
 Seek Time (ms) - 4.17ms
 Buffer (MB) - 64MB
 From Factor (Inch) - 3.5 Inch
 Interface - SATA 6Gb/s
 Part No - HDWD120UZSVA
 Warranty - 2 year"
Seagate Skyhawk 2TB 3.5 Inch SATA 5900RPM Surveillance HDD #ST2000VX003-520,Seagate Skyhawk ST2000VX003-520,https://ryanscomputers.com/seagate-skyhawk-2tb-3-5-inch-sata-5900rpm-surveillance-hdd-st2000vx003-520.html,"5,600

",2TB,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/s/t/st2000vx003-520-1.jpg,2TB,"Model - Seagate Skyhawk ST2000VX003-520
 Storage (GB) - 2TB
 Type - SATA Surveillance Skyhawk HDD
 RPM - 5900RPM
 Buffer (MB) - 64MB
 From Factor (Inch) - 3.5 Inch
 Interface - SATA 6.0Gb/s
 Part No - ST2000VX003-520
 Warranty - 2 Years
 
Overview
 
Seagate ST2000VX003-520 Custom-built for surveillance applications with Image Perfect firmware for crisp
 clear
 24×7 video workloads. Maximum 180TB/year workload rating 3× the workload rating of desktop drives for reliable performance in write-intensive
 
 
Surveillance systems
Rotational vibration (RV) sensors help maintain performance in RAID and multi-drive systems (4TB or higher)Up to 10TB of capacity to store up to 10
000 hours of HD video Optimised for DVRs and NVRs
 SkyHawk surveillance drives are tuned for 24×7 workloads in capacities up to 10TB. Equipped with enhanced ImagePerfect firmware
 SkyHawk helps to minimise dropped frames and downtime with a workload rating 3× that of a desktop drive and is ready to record up to 90% of the time while supporting up to 64 HD cameras. 
 
 
SkyHawk AI:Designed for AI Surveillance
Scalable AI workloads designed to support an additional 16 AI streams while simultaneously and flawlessly recording footage up to 64 HD cameras1    * ImagePerfect AI provides image integrity with no dropped frames or AI data from loss    * Built-in RV sensors to support multi-bay configurations of 16+ bays    * High reliability with 550TB/yr workload rate    * 2 years of Seagate Rescue Data Recovery Services activated with every SkyHawk AI
 
Smart Surveillance
SkyHawk’s innovative ImagePerfect and ImagePerfect AI firmware enables smooth
 clear video streaming for always-on
 24×7 surveillance environments helping to ensure your business has a formidable layer of protection. Plus ImagePerfect AI minimises AI data integrity loss for even better performance.
 
SkyHawk AI comes with 2-year Rescue Data Recovery Plan
Your data is incredibly important. Give yourself the ultimate peace of mind with Rescue Data Recovery Plans. Whether there is a hard drive mechanical issue
 natural disaster
 data corruption or virus
 Seagate has you covered. Seagate provides industry leading data recovery and it’s all done in-house at one of Seagate’s secure design labs.
Keep Your Drive Healthy
SkyHawk Health Management (SHM) is first-to-market with in-depth analysis that helps to prevent data loss. SHM analyzes and provides detailed information on how to improve storage performance. SHM is built into Hikvision NVR 4.0 OS systems in Seagate ST2000VX003-520."
Toshiba 3TB 3.5 Inch SATA 7200RPM Desktop HDD #HDWD130UZSVA,Toshiba HDWD130UZSVA,https://ryanscomputers.com/toshiba-3tb-3-5-inch-sata-7200rpm-desktop-hdd-hdwd130uzsva.html,"7,000

",3TB HDD,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/h/d/hdwd130uzsva.jpg,3TB HDD,"Model - Toshiba HDWD130UZSVA
 Storage (GB) - 3TB HDD
 Type - SATA HDD
 RPM - 7200RPM
 Seek Time (ms) - 4.17ms
 Buffer (MB) - 64MB
 From Factor (Inch) - 3.5 Inch
 Interface - SATA 6Gb/s
 Part No - HDWD130UZSVA
 Warranty - 2 year"
Western Digital Blue 2TB 2.5 Inch SATA 5400RPM Notebook HDD #WD20SPZX,Western Digital Blue,https://ryanscomputers.com/western-digital-blue-2tb-2-5-inch-sata-5400rpm-notebook-hdd-wd20spzx.html,"7,500

",2TB HDD,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/w/d/wd20spzx-1.jpg,2TB HDD,"Model - Western Digital Blue
 Storage (GB) - 2TB HDD
 Type - SATA Notebook HDD
 RPM - 5400RPM
 Buffer (MB) - 128MB
 From Factor (Inch) - 2.5 Inch
 Interface - SATA 6Gb/s
 Others - Load/Unload cycle: 600
000
 Dimension: 69.85 x 7.0 x 100.20mm
 Weight: 0.09Kg
 Part No - WD20SPZX
 Warranty - 2 Year"
