product_name,model,link,ryans_price,brand,picLink,description
AMD Athlon 200GE 3.2GHz 2 Core 5MB+ Cache AM4 Socket Processor with Vega 3 Graphics,AMD Athlon 200GE,https://ryanscomputers.com/components/processor/amd-athlon-200ge-3-2ghz-2-core-5mb-cache-am4-socket-processor-with-vega-3-graphics.html,"5,500

",AMD,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/2/0/200ge.jpg,"Model - AMD Athlon 200GE
 Code-Name - Zen
 Base Frequency - 3.2 GHz
 Core - 2
 Threads - 4
 Smart Cache - 192 KB
 L2 Cache - 1 MB
 L3 Cache - 4 MB
 TDP - 35 W
 Lithography - 14 nm
 Memory Type - DDR4-2667MHz
 Memory Chanels - 2
 Processor Graphics - Radeon Vega 3 Graphics
 Graphics Base Frequency - 1000 MHz
 Sockets Supported - AM4
 Warranty - 3 Year (No Warranty for Fan or Cooler)
 Specialty - Hyper-Threading Support
 Others - GPU Cores: 3
 Compute Cores: 5 (2 CPU + 3 GPU)"
Intel Pentium Gold G5400 3.7GHz 4MB Cache LGA1151 Socket Processor,Intel Pentium Gold G5400,https://ryanscomputers.com/intel-pentium-gold-g5400-3-7ghz-4mb-cache-lga1151-socket-processor.html,"6,800

",Intel,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/g/o/gold-g5400_1_1.jpg,"Model - Intel Pentium Gold G5400
 Code-Name - Coffee Lake
 Base Frequency - 3.70 GHz
 Core - 2
 Threads - 4
 Smart Cache - 4 MB
 Bus Speed - 8 GT/s DMI3
 TDP - 58.0 W
 Lithography - 14 nm
 Memory Max. - 64 GB
 Memory Type - DDR4-2400
 Memory Chanels - 2
 ECC Memory Supported - Yes
 Processor Graphics - Intel UHD Graphics 610
 Graphics Base Frequency - 350.0 MHz
 Graphics Dynamic Frequency Max. - 1.05 GHz
 Graphics Video Memory Max. - 64 GB
 Graphics Resolution Max. - 4096x2304@24Hz
 DirectX Support - 12
 OpenGL Support - 4.5
 Sockets Supported - LGA1151
 Warranty - 3 Year (No Warranty for Fan or Cooler)
 Specialty - Intel InTru 3D Technology
 Intel Clear Video Technology
 Intel Quick Sync Video
 Intel Clear Video HD Technology
 Intel Virtualization Technology (VT-x)
 Intel Hyper-Threading Technology
 Others - Max Memory Bandwidth: 37.5 GB/s
 4K Support: Yes
 at 60Hz
 Displays Supported: 3
 PCI Express Revision: 3.0
 Compatible Products - Chipset: B360
 H370
 H310
 Q370
 Z370"
AMD Ryzen 3 1200 3.1-3.4 GHz 4-Core 8MB Cache 65W AM4 Processor,AMD Ryzen 3 1200,https://ryanscomputers.com/amd-ryzen-3-1200-3-1-3-4-ghz-4-core-8mb-cache-65w-am4-processor.html,"7,200

",AMD,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/r/y/ryzen-3-1200-1.jpg,"AMD Ryzen 3 1200 3.1-3.4 GHz 4-Core 8MB Cache 65W AM4 Processor
True Quad Core Performance for Gaming & ComputingFeaturing 4 processor cores for performance gaming and processing
 with true machine intelligence to analyze and adapt to your needs.
The Balance of Power Has Shifted AMD Ryzen 3 1200 processor
True quad-core
 unlocked performance for everything you do
The “Zen” Core Architecture
Built with AMD SenseMI Technology‡ to deliver a truly intelligent processor.
AMD SenseMI Technology
With AMD SenseMI technology
 Ryzen uses true machine intelligence to accelerate performance
AMD VR Ready Processors
AMD VR-Ready processors provide confidence with the processing power required to handle advanced VR workloads.
Enmotus FuzeDrive for AMD Ryzen
Accelerate your PC with Faster
 Smarter
 Easier storage technology. Exclusively for AMD Ryzen desktop processors†
Setting the Bar for High Performance and Efficiency
AMD’s high-performance x86 Core “Zen” architecture delivers >52% improvement in instructions-per-clock cycle over the previous generation AMD core
 without increasing power.1
Sign up for breaking “Zen” Core news and product information.
Performance and Efficiency for Next-​Gen ApplicationsCloud computing
 enterprise productivity
 immersive visual experiences
 gaming and data security open up new frontiers – and demand more computing performance with maximum energy efficiency. From the very beginning
 AMD engineers designed the new “Zen” core to meet those demands with a high-performance execution engine
 large caches
 and powerful multi-threading capabilities.
The advanced processing power you need to master demanding VR workloads
Incredible virtual experiences require incredible computing power. Select AMD VR Ready processors unlock virtual worlds for you to enjoy
 thanks to advanced AMD FX and AMD Ryzen processors that meet or exceed the requirements for either the Oculus Rift
 HTC Vive
 or Windows Mixed Reality premium head-mounted displays.
AMD VR Ready Processor
If you feel that VR is something you might want to try now or in the future
 AMD VR Ready processors2 provide confidence that your system has enough processing power to handle this advanced workload. These select models meet or exceed the current top VR-HMD manufacturers Oculus Rift
 HTC Vive
 or Windows Mixed Reality minimum specifications for processors to provide a playable experience for the user
 
Model - AMD Ryzen 3 1200
 Code-Name - Summit Ridge
 Base Frequency - 3.1 GHz
 Turbo Frequency Max. - 3.4 GHz
 Core - 4
 Threads - 4
 L2 Cache - 2 MB
 L3 Cache - 8 MB
 TDP - 65 W
 Lithography - 14 nm
 Memory Type - DDR4
 Memory Chanels - 2
 Sockets Supported - AM4
 Warranty - 3 Year (No Warranty for Fan or Cooler)
 Specialty - AMD Wraith Stealth Cooler Included
 AMD SenseMI Technology
 AMD VR Ready Processors
 AVX2
 FMA3
 XFR
 The ""Zen"" Core Architecture"
AMD Ryzen 3 2200G 3.5-3.7 Ghz 4 Core 6MB Cache AM4 Socket Processor with Vega 8 Graphics,AMD Ryzen 3 2200G,https://ryanscomputers.com/amd-ryzen-3-2200g-3-5-3-7-ghz-4-core-6mb-cache-am4-socket-processor-with-vega-8-graphics.html,"9,000

",AMD,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/r/y/ryzen-3-2200g-1.jpg,"The Unlocked
 Quad-Core Processor with Best-in-Class eSports Gaming
4 “Zen” Cores
 with powerful Radeon™ Vega 8 Graphics onboard
Advanced
 High-Performance Processing
Intelligent
 revolutionary AMD Ryzen™ processors are designed to bring you the ultimate
 high-performance computing experience. The latest revolutionary AMD multi-threaded processing technology gives you blazing fast performance when you work or play.
The Graphics of “Vega” 
Graphics ModelRadeon™ Vega 8 Processor Graphics
Powerful Radeon™ Vega graphics deliver fast
 smooth and fluid performance on the games you love to play.
No Compromise
AMD Ryzen™ Processors with Radeon™ Vega Graphics are armed with some of the most advanced
 powerful computing and graphics hardware available today
 fused together in a single processor to deliver the high performance you need for demanding work and serious play
 without compromise.
AMD SenseMI Technology
With AMD SenseMI technology
 Ryzen™ uses true machine intelligence to accelerate performance.
AMD Ryzen™ Master Utility
The Simple and Powerful Overclocking Utility for AMD Ryzen™ processor.
Enmotus FuzeDrive™ for AMD Ryzen™
Accelerate your PC with Faster
 Smarter
 Easier storage technology. Exclusively for AMD Ryzen™ desktop processors†
Radeon™ Software
Artfully Designed. Meticulously Crafted. Incredibly Intuitive.
Radeon™ FreeSync Technology
No stuttering. No tearing. Just gaming.
 
Model - AMD Ryzen 3 2200G
 Code-Name - Raven Ridge
 Base Frequency - 3.5 GHz
 Turbo Frequency Max. - 3.7 GHz
 Core - 4
 Threads - 4
 L2 Cache - 2 MB
 L3 Cache - 4 MB
 TDP - 65 W
 Lithography - 14 nm
 Processor Graphics - Radeon Vega 8 Processor Graphics
 Graphics Base Frequency - 1100 MHz
 Sockets Supported - AM4
 Warranty - 3 Year (No Warranty for Fan or Cooler)
 Specialty - AMD SenseMI Technology
 AMD Ryzen Master Utility
 Enmotus FuzeDrive for AMD Ryzen
 Radeon FreeSync Technology"
AMD Ryzen 3 1300X 3.5-3.7 GHz 4-Core 10MB+ Cache 65W AM4 Processor,AMD Ryzen 3 1300X,https://ryanscomputers.com/amd-ryzen-3-1300x-3-5-3-7-ghz-4-core-10mb-cache-65w-am4-processor.html,"10,200

",AMD,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/a/m/amd-ryzen-3-1300x.jpg,"Model - AMD Ryzen 3 1300X
 Code-Name - Summit Ridge
 Base Frequency - 3.5 GHz
 Turbo Frequency Max. - 3.7GHz
 Core - 4
 Threads - 4
 Smart Cache - 384 KB
 L2 Cache - 2 MB
 L3 Cache - 8 MB
 TDP - 65 W
 Lithography - 14 nm
 Memory Type - DDR4
 Memory Chanels - 2
 Sockets Supported - AM4
 Warranty - 3 Year (No Warranty for Fan or Cooler)
 Specialty - The ""Zen"" Core Architecture
 AMD SenseMI Technology
 AMD Ryzen Master Utility
 AVX2
 FMA3
 XFR
 Others - Max System Memory Speed: 2667MHz
 
Overview
 
True Quad Core
 Unlocked Performance for Responsive Gaming & Computing
Featuring 4 processor cores for performance gaming and processing
with true machine intelligence to analyze and adapt to your needs.1
2
3
 
The Balance of Power Has Shifted
AMD Ryzen 3 1300X processorTrue quad-core
 unlocked performance for gaming and computing.
 
Enmotus FuzeDrive for AMD Ryzen
Accelerate your PC with Faster
 Smarter
 Easier storage technology. Exclusively for AMD Ryzen™ desktop processors
 
The “Zen” Core Architecture
Built with AMD SenseMI Technology‡ to deliver a truly intelligent processor.
 
Faster
 Easier
 Simpler Storage Technology: Enmotus FuzeDrive for AMD Ryzen
AMD has teamed up with high-end server storage technology company Enmotus to bring advanced
 intelligent storage acceleration to AMD Ryzen desktop processor owners!
 
In 2017
 AMD disrupted the processor market with Ryzen desktop processors
 delivering incredible multi-threaded performance to consumers. But in many ways
 platforms are just as important as the processors that sit on them. If you want to make a real difference in the way people experience PC performance
 you need to continuously push to open other bottlenecks like memory
 I/O
 and storage. That’s why we provided a free NVMe RAID upgrade to the X399 (Threadripper) platform in October of the same year
 enabling some of the most bandwidth ever seen on a consumer desktop platform.
While it’s great to push the limits of what’s possible for enthusiasts
 the average user isn’t going to invest a large amount of money in expensive
 high-capacity NVMe drives. So we looked for a way improve storage performance for everyone with a Ryzen desktop processor. We started with a list of goals
 like improving storage performance and lowering loading times. Because AMD believes in open hardware standards
 it prefers to work with off-the-shelf
 non-proprietary NVMe
 SSD
 and hard disk drives. Finally
 it must be convenient for users – any superior storage acceleration solution needs to be easy to set up
 and simple to use.
 
Introducing Enmotus FuzeDrive for Ryzen
 exclusively for AMD on Consumer Desktop PC
To achieve these goals
 AMD partnered with Enmotus
 a company that develops high-end server-class storage solutions designed to optimize both performance and capacity in the data center. We worked together to tailor Enmotus’ FuzeDrive software for use with AMD Ryzen desktop processors in the consumer desktop PC space
 for systems using the AMD B350 and X370 chipsets (Socket AM4* Ryzen 7
 5
 and 3*) and the X399 chipset (socket sTR4 Ryzen Threadripper).
Enmotus FuzeDrive does not support the AMD A320 chipset
 
How does Enmotus FuzeDrive for AMD Ryzen work?
First
 the FuzeDrive software analyzes all of the storage hardware available on your system
 from fastest to slowest: from DDR4 RAM
 to 3D Xpoint NVMe drives
 standard NVMe drives
 SSD drives
 and mechanical hard disks. During the setup process
 it combines these disks into what your system sees as a single
 larger disk. Unlike caching schemes
 FuzeDrive™ lets you use both the SSD and the HDD capacity together as one large boot drive. For example
 you can now combine a 128GB SSD and 2TB hard drive into a large bootable 2.1TB high performance FuzeDrive.
 
Once installed
 FuzeDrive intelligently and continuously analyzes your system
 activating an ongoing process to make it as fast and responsive as possible. For instance
 your Windows operating system boot files are moved to the fastest non-volatile storage to accelerate boot times. And as you use your PC from day to day
 FuzeDrive™ notices what applications you run and automatically prioritizes the applications and data you use the most
 so it’s accessed as quickly as possible from the fastest storage tier available. That means faster boot times
 faster application and game load times
 and a more responsive system.
 
AMD SenseMI Technology. Technology that thinks.
AMD introduces SenseMI technology
 a set of learning and adapting features that help the AMD Ryzen™ processor customize its performance to you and your applications. Finally: performance that thinks.
 
Pure Power
A sophisticated grid of smart sensors that monitors CPU temperature
 resource usage and power draw brings cool and quiet operation to your AMD Ryzen processor with intelligent power optimization circuits
 plus the low power requirements of an advanced 14nm FinFET manufacturing technology.
 
Precision Boost
Fine-tuned processor performance adjusted in real time to meet the performance demands of your game or app.
Adjusts clockspeeds in 25MHz increments to optimize performanceClockspeed changes can occur without pausing work
 
Precision Boost 
Gracefully raises processor frequencies for snappier performance on any number of CPU cores.
The AMD Ryzen™ processor with Radeon Graphics monitors its own energy consumption and temperature.When the processor knows it's running cool and quiet
 it can raise clock speeds in precise 25MHz steps for any application
 
Neural Net Prediction
A true artificial intelligence inside every AMD Ryzen processor employs an artificial neural network to understand your applications and anticipate the next steps of your workflow in real time. These “powers of prediction” can boost performance by steering your apps and games down the most efficient paths inside the processor.
 
Extended Frequency Range (XFR)
Automatic extra performance boost for enthusiasts with premium systems and processor cooling.
Permits CPU speeds above and beyond ordinary Precision Boost limitsClockspeed scales with cooling solution: air
 water
 and LN2Fully automated; no user input requiredAvailable on select AMD Ryzen processors
Mobile Extended Frequency Range (mXFR)Greater processor performance with a premium notebook chassis.
 
Higher processor clock speeds offer more performance to the user.
A premium notebook cooling solution can comfortably and quietly handle these higher energy requirements.mXFR allows AMD Ryzen mobile processors to offer faster performance in laptop systems.
 
Smart Prefetch
Sophisticated learning algorithms understand the inner workings of your applications and anticipate what data they might need. Smart Prefetch predictively brings that data into the AMD Ryzen™ processor for fast and responsive computing."
Intel Core i3 6100 3.70GHz 6th Gen. Processor,Intel Core i3 6100,https://ryanscomputers.com/components/processor/intel-core-i3-6100-3-70ghz-6th-gen.html,"10,800

",Intel,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/i/n/intel-core-i3-6100.jpg,"Model - Intel Core i3 6100
 Code-Name - Skylake
 Generation - 6th
 Base Frequency - 3.70 GHz
 Core - 2
 Threads - 4
 Smart Cache - 3 MB
 Bus Speed - 8 GT/s DMI3
 TDP - 51 W
 Lithography - 14 nm
 Memory Max. - 64 GB
 Memory Type - DDR4-1866/2133
 DDR3L-1333/1600 @ 1.35V
 Memory Chanels - 2
 ECC Memory Supported - Yes
 Processor Graphics - Intel HD Graphics 530
 Graphics Base Frequency - 350.00 MHz
 Graphics Dynamic Frequency Max. - 1.05 GHz
 Graphics Video Memory Max. - 64 GB
 Graphics Resolution Max. - 4096x2304@24Hz
 DirectX Support - 12
 OpenGL Support - 4.4
 Sockets Supported - FCLGA1151
 Warranty - 3 year
 Specialty - InTru 3D Technology
 Clear Video HD Technology
 Displays Supported-3
 Hyper-Threading Technology
 Virtualization Technology
 Compatible Products - Chipset: Z270
 Z170
 H170
 H270
 H110
 B150
 B250
 Q270
 Q170"
"(Bundle) Intel Coffee Lake Core i3 8100 3.60GHz, 4 Core, 6MB Cache LGA1151 8th Gen. Processor",Intel Coffee Lake Core i3 8100,https://ryanscomputers.com/bundle-intel-coffee-lake-core-i3-8100-3-60ghz-4-core-6mb-cache-lga1151-8th-gen-processor.html,"11,000

",Intel,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/8/1/8100.jpg,"Model - Intel Coffee Lake Core i3 8100
 Code-Name - Coffee Lake
 Generation - 8th
 Base Frequency - 3.60 GHz
 Core - 4
 Threads - 4
 Smart Cache - 6 MB
 Bus Speed - 8 GT/s DMI3
 TDP - 65 W
 Lithography - 14 nm
 Memory Max. - 64 GB
 Memory Type - DDR4-2400
 Memory Chanels - 2
 Processor Graphics - Intel UHD Graphics 630
 Graphics Base Frequency - 350 MHz
 Graphics Dynamic Frequency Max. - 1.10 GHz
 Graphics Video Memory Max. - 64 GB
 Graphics Resolution Max. - 4096x2304@60Hz
 DirectX Support - 12
 OpenGL Support - 4.5
 Sockets Supported - LGA1151
 Specialty - Intel Quick Sync Video
 Intel InTru 3D Technology
 Intel Clear Video HD Technology
 Intel Optane Memory Supported
 Intel Virtualization Technology
 Others - Bundled with Mainboard
 HDD
 RAM and Casing
 Compatible Products - Chipset: B360
 H370
 H310
 Q370
 Z370
 Warranty - 3 Year (No Warranty for Fan or Cooler)"
"(Single) Intel Coffee Lake Core i3 8100 3.60GHz, 4 Core, 6MB Cache LGA1151 8th Gen. Processor",Intel Coffee Lake Core i3 8100,https://ryanscomputers.com/single-intel-coffee-lake-core-i3-8100-3-60ghz-4-core-6mb-cache-lga1151-8th-gen-processor.html,"11,200

",Intel,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/8/1/8100_1.jpg,"Model - Intel Coffee Lake Core i3 8100
 Code-Name - Coffee Lake
 Generation - 8th
 Base Frequency - 3.60 GHz
 Core - 4
 Threads - 4
 Smart Cache - 6 MB
 Bus Speed - 8 GT/s DMI3
 TDP - 65 W
 Lithography - 14 nm
 Memory Max. - 64 GB
 Memory Type - DDR4-2400
 Memory Chanels - 2
 Processor Graphics - Intel UHD Graphics 630
 Graphics Base Frequency - 350 MHz
 Graphics Dynamic Frequency Max. - 1.10 GHz
 Graphics Video Memory Max. - 64 GB
 Graphics Resolution Max. - 4096x2304@60Hz
 DirectX Support - 12
 OpenGL Support - 4.5
 Sockets Supported - LGA1151
 Specialty - Intel Quick Sync Video
 Intel InTru 3D Technology
 Intel Clear Video HD Technology
 Intel Optane Memory Supported
 Intel Virtualization Technology
 Compatible Products - Chipset: B360
 H370
 H310
 Q370
 Z370
 Warranty - 3 Year (No Warranty for Fan or Cooler)"
Intel Core i7 3820 3.6GHz 3rd Gen. Processor,Intel Core i7-3820,https://ryanscomputers.com/components/processor/intel-core-i7-3820-3-6ghz-3rd-gen.html,"12,500

",Intel,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/i/7/i7-3820-1.jpg,"Model - Intel Core i7-3820
 Code-Name - Sandy Bridge E
 Generation - 3rd
 Base Frequency - 3.60 GHz
 Turbo Frequency Max. - 3.80 GHz
 Core - 4
 Threads - 8
 Smart Cache - 10 MB
 Bus Speed - 5 GT/s DMI2
 TDP - 130 W
 Lithography - 32 nm
 Memory Max. - 64 GB
 Memory Type - DDR3-1066/1333/1600
 Memory Chanels - 4
 Sockets Supported - FCLGA 2011
 Warranty - 3 Year (No Warranty for Fan or Cooler)
 Specialty - Turbo Boost Technology 2.0
 Hyper-Threading Technology
 Virtualization Technology

 Compatible Products - Chipset: X79 
 Form Factor: ATX"
AMD Ryzen 5 2400G 3.6-3.9 Ghz 4 Core 6MB Cache AM4 Socket Processor with Vega 11 Graphics,AMD Ryzen 5 2400G,https://ryanscomputers.com/amd-ryzen-5-2400g-3-6-3-9-ghz-4-core-6mb-cache-am4-socket-processor-with-vega-11-graphics.html,"13,200

",AMD,https://ryanscomputers.com/media/catalog/product/cache/1/small_image/300x200/9df78eab33525d08d6e5fb8d27136e95/r/y/ryzen-5-2400g-1.jpg,"Advanced
 High-Performance Processing
Intelligent
 revolutionary AMD Ryzen™ processors are designed to bring you the ultimate
 high-performance computing experience. The latest revolutionary AMD multi-threaded processing technology gives you blazing fast performance when you work or play.
True Console Class Gaming Power
Enjoy the most powerful graphics you can get on a desktop processor thanks to Radeon™ RX Vega processor graphics. The latest
 most advanced ‘Vega’ graphics technology delivers fast
 smooth and fluid performance on the games you love to play.
No Compromise
AMD Ryzen™ Processors with Radeon™ RX Vega Graphics are armed with some of the most advanced
 powerful computing and graphics hardware available today
 fused together in a single processor to deliver the high performance you need for demanding work and serious play
 without compromise
AMD SenseMI Technology
With AMD SenseMI technology
 Ryzen™ uses true machine intelligence to accelerate performance.‡
AMD Ryzen™ Master Utility
The Simple and Powerful Overclocking Utility for AMD Ryzen™ processor.
Enmotus FuzeDrive™ for AMD Ryzen™
Accelerate your PC with Faster
 Smarter
 Easier storage technology. Exclusively for AMD Ryzen™ desktop processors†
Radeon™ Software
Artfully Designed. Meticulously Crafted. Incredibly Intuitive.
Radeon™ FreeSync Technology
No stuttering. No tearing. Just gaming.
 
Model - AMD Ryzen 5 2400G
 Code-Name - Raven Ridge
 Base Frequency - 3.6 GHz
 Turbo Frequency Max. - 3.9 GHz
 Core - 4
 Threads - 8
 L2 Cache - 2 MB
 L3 Cache - 4 MB
 TDP - 65 W
 Lithography - 14 nm
 Processor Graphics - Radeon Vega 11 Processor Graphics
 Graphics Base Frequency - 1250 MHz
 Sockets Supported - AM4
 Warranty - 3 Year (No Warranty for Fan or Cooler)
 Specialty - AMD SenseMI Technology
 AMD Ryzen Master Utility
 Enmotus FuzeDrive for AMD Ryzen
 Radeon FreeSync Technology"
