product_name,link,startech_rice,brand
Seagate Internal 1TB SATA Barracuda HDD,https://www.startech.com.bd/seagate-1tb-barracuda,"3,600",Seagate
Toshiba 1TB Sata Desktop Hard Disk,https://www.startech.com.bd/toshiba-dt01aca100-1tb-sata-hard-disk,"3,600",Toshiba
Western Digital 1TB Blue Desktop HDD ,https://www.startech.com.bd/western-digital-blue-1tb-sata-hard-disk,"3,600",Western
Toshiba 1TB Sata Laptop Hard Disk,https://www.startech.com.bd/toshiba-1-tb-laptop-hard-disk,"4,200",Toshiba
Western Digital WD10PURX 1TB Purple Desktop HDD,https://www.startech.com.bd/western-digital-1tb-purple-hard-disk,"4,100",Western
"Seagate SkyHawk 2TB 3.5"" Surveillance Hard Drive",https://www.startech.com.bd/seagate-skyhawk-2tb-hdd,"5,900",Seagate
Toshiba 2TB Sata Desktop Hard Disk,https://www.startech.com.bd/toshiba-2tb-dt01aca200-sata-hard-disk,"5,000",Toshiba
Seagate Barracuda 2TB SATA 3.5 inch HDD,https://www.startech.com.bd/seagate-2tb-hdd,"5,700",Seagate
Toshiba 4TB Sata Desktop Hard Disk ,https://www.startech.com.bd/toshiba-md04aca400-4tb-7200rpm,"9,500",Toshiba
"Western Digital 2TB 3.5"" SATA Purple Desktop HDD",https://www.startech.com.bd/western-digital-2tb-purple-hard-disk,"5,900",Western
"Seagate SkyHawk 3TB 3.5"" Surveillance Hard Drive",https://www.startech.com.bd/seagate-skyhawk-3tb,"7,500",Seagate
Western Digital Black 2TB SATA Hard Disk,https://www.startech.com.bd/western-digital-black-2tb-sata-hard-disk,"12,000",Western
"Western Digital 3TB 3.5"" Purple Desktop HDD",https://www.startech.com.bd/western-digital-3tb-3.5-inch-purple,"7,500",Western
"Western Digital (WD40EZRZ) 4TB 3.5"" BLUE HDD",https://www.startech.com.bd/western-digital-4tb-blue,"9,500",Western
Western Digital 4TB Red Nas Hard Disk,https://www.startech.com.bd/western-digital-4tb-nas-red-hdd,"12,800",Western
"Western Digital 6TB 3.5"" RED HDD WD60EFRX",https://www.startech.com.bd/western-digital-6TB-red-hdd-wd60efrx,"18,000",Western
Seagate SkyHawk 6TB Surveillance Hard Drive,https://www.startech.com.bd/seagate-skyhawk-6tb-hdd,"17,000",Seagate
Western Digital 4TB Purple Desktop HDD Surveillance Class,https://www.startech.com.bd/wd-4tb-purple-wd40purx-hdd,"9,500",Western
Seagate IronWolf 6TB Internal SATA Hard Drive,https://www.startech.com.bd/seagate-ironwolf-6tb-hdd,"19,500",Seagate
"Western Digital 6TB 3.5"" Purple HDD WD60PURZ",https://www.startech.com.bd/western-digital-wd60purz,"16,500",Western
"Western Digital 8TB 3.5"" PURPLE HDD WD80PUZX Hard Disk",https://www.startech.com.bd/western-digital-8tb-purple-wd80puzx,"21,000",Western
"Seagate SkyHawk 8TB 3.5"" Surveillance Hard Drive",https://www.startech.com.bd/seagate-skyhawk-8tb-hdd,"22,700",Seagate
Seagate IronWolf 8TB Internal SATA Hard Drive,https://www.startech.com.bd/seagate-ironwolf-8tb-hdd,"25,500",Seagate
"Seagate SkyHawk 10TB 3.5"" Surveillance Hard Drive",https://www.startech.com.bd/seagate-skyhawk-10tb-hdd,"32,200",Seagate
Western Digital 2TB Blue Desktop HDD ,https://www.startech.com.bd/Western-Digital-2TB-3.5-BLUE-HDD-WD20EZRZ,"5,650",Western
"Seagate SkyHawk 1TB 3.5"" Surveillance Hard Drive",https://www.startech.com.bd/seagate-skyhawk-1tb-hdd,"3,900",Seagate
Seagate Barracuda 4TB SATA 3.5 inch HDD,https://www.startech.com.bd/seagte-4tb-hdd,"10,300",Seagate
Seagate SkyHawk 4TB Surveillance Hard Drive,https://www.startech.com.bd/seagate-skyhawk-4tb-hdd,"11,240",Seagate
