product_name,link,startech_rice,brand
Asrock H81M-VG4 R3.0 Super Alloy ATX Motherboard,https://www.startech.com.bd/asrock-h81m-vg4-r3-motherboard,"4,500",Asrock
ASUS EX-A320M AMD AM4 Socket Gaming Motherboard,https://www.startech.com.bd/asus-ex-a320m-gaming-motherboard,"7,200",ASUS
Asus H110M-CS 7th/6th Gen micro-ATX Motherboard,https://www.startech.com.bd/asus-h110m-cs-micro-atx-motherboard,"5,500",Asus
ASUS PRIME B450M-A AMD mATX Motherboard,https://www.startech.com.bd/asus-prime-b450m-a-amd-motherboard,"9,100",ASUS
Esonic G31 DDR2 motherboard ,https://www.startech.com.bd/esonic-g31-ddr2-motherboard ,"2,400",Esonic
Gigabyte B450M S2H ULTRA Durable Motherboard,https://www.startech.com.bd/gigabyte-b450m-s2h-ultra-durable-motherboard,"6,300",Gigabyte
Gigabyte GA-A320M-S2H AMD Micro ATX Motherboard,https://www.startech.com.bd/gigabyte-ga-a320m-s2h-amd-motherboard,"5,300",Gigabyte
Gigabyte GA-H110M-DS2 Micro ATX Motherboard,https://www.startech.com.bd/gigabyte-ga-h110m-ds2-motherboard,"5,300",Gigabyte
MSI B360M PRO-VDH 8th Gen DDR4 Motherboard ,https://www.startech.com.bd/msi-b360m-pro-vdh-motherboard,"7,900",MSI
MSI B360M PRO-VH DDR4 8th Gen Motherboard,https://www.startech.com.bd/msi-b360m-pro-vh-mainboard,"7,900",MSI
MSI H310M Gaming Arctic 8th Gen DDR4 Motherboard,https://www.startech.com.bd/msi-h310m-gaming-arctic-mohterboard,"8,200",MSI
Redfox Intel Chipset G31 Motherboard,https://www.startech.com.bd/redfox-intel-chipset-g31,"2,500",Redfox
ASRock A320M-HDV R4.0 AMD Motherboard,https://www.startech.com.bd/asrock-a320m-hdv-r4.0-amd-motherboard,"5,500",ASRock
ASRock H110M-HDV Micro ATX DDR4 Motherboard,https://www.startech.com.bd/asrock-h110m-hdv-motherboard,"5,300",ASRock
ASUS H81M-P,https://www.startech.com.bd/asus-h81m-p,"5,500",ASUS
Asus ROG STRIX B450-I GAMING AMD Mini ITX Motherboard,https://www.startech.com.bd/asus-rog-strix-b450-i-gaming-amd-mini-itx-motherboard,"16,100",Asus
Esonic G41 DDR3 Motherboard,https://www.startech.com.bd/esonic-g41-ddr3-motherboard,"2,900",Esonic
Gigabyte GA-H110M-DS2V Motherboard,https://www.startech.com.bd/gigabyte-ga-h110m-ds2v,"5,300",Gigabyte
Redfox Intel Chipset G41 DDR3 Motherboard,https://www.startech.com.bd/redfox-intel-chipset-g41,"3,000",Redfox
Asus H110M-E/M.2 DDR4 USB 3.0 ATX Motherboard,https://www.startech.com.bd/asus-h110m-e-m2-motherboard,"5,700",Asus
Asus ROG STRIX X470-F GAMING AMD ATX Motherboard,https://www.startech.com.bd/asus-rog-strix-x470-f-gaming-amd-motherboard,"20,900",Asus
Gigabyte GA-G41M-Combo Motherboard,https://www.startech.com.bd/gigabyte-ga-g41m-combo-motherboard,"5,700",Gigabyte
Gigabyte GA-H110M S2PH-DDR4,https://www.startech.com.bd/Gigabyte-GA-H110M-S2PH-DDR4 ,"5,700",Gigabyte
ASRock B450M-HDV R4.0 AMD Motherboard,https://www.startech.com.bd/asrock-b450m-hdv-r4-amd-motherboard,"6,300",ASRock
Asrock H310CM-HDV/M.2 8th & 9th Gen DDR4 Motherboard,https://www.startech.com.bd/asrock-h310cm-hdv-m.2-motherboard,"6,400",Asrock
Asrock H310M-HDV/M.2 8th Gen DDR4 Motherboard,https://www.startech.com.bd/asrock-h310m-hdv-m.2-motherboard,"6,400",Asrock
ASUS H110M-K Motherboard,https://www.startech.com.bd/ASUS-H110M-K-Motherboard,"5,500",ASUS
Asus Prime A320M-K AMD AM4 uATX Motherboard,https://www.startech.com.bd/asus-prime-a320m-k-motherboard,"6,300",Asus
Asus Prime B450-PLUS AMD AM4 ATX Motherboard,https://www.startech.com.bd/asus-prime-b450-plus-motherboard,"10,200",Asus
Asus ROG CROSSHAIR VI HERO AMD X370 ATX Gaming Motherboard,https://www.startech.com.bd/aus-rog-crosshair-vi-hero-motherboard,"22,800",Asus
Gigabyte AMD B450M Gaming Motherboard,https://www.startech.com.bd/gigabyte-amd-b450-gaming-motherboard,"7,500",Gigabyte
Gigabyte GA-B75M-S LGA 1155 Micro-ATX Motherboard,https://www.startech.com.bd/gigabyte-gt-b75m-s-motherboard,"6,200",Gigabyte
Gigabyte GA-H61M-S DDR3 Micro ATX Motherboard,https://www.startech.com.bd/gigabyte-ga-h61m-s-motherboard,"5,700",Gigabyte
Gigabyte GA-H81M-DS2 Micro ATX Motherboard,https://www.startech.com.bd/gigabyte-ga-h81m-ds2-motherboard,"5,300",Gigabyte
ASUS H110M-A Motherboard,https://www.startech.com.bd/ASUS-H110M-A-Motherboard,"5,900",ASUS
ASUS H81M-C Motherboard,https://www.startech.com.bd/asus-h81m-c-motherboard,"5,700",ASUS
Gigabyte GA-B250M-D2V 7th/6th Gen Micro ATX Motherboard,https://www.startech.com.bd/gigabyte-ga-b250m-d2v-motherboard,"6,300",Gigabyte
Asrock B450M Pro4 AMD Motherboard,https://www.startech.com.bd/asrock-b450m-pro4-motherboard,"8,800",Asrock
Asrock Fatal1ty B250M Performance Motherboard,https://www.startech.com.bd/asrock-fatal1ty-b250m-performance,"7,700",Asrock
Asus Tinker Board With Rockchip Quad-Core RK3288 processor,https://www.startech.com.bd/asus-tinker-board,"5,950",Asus
Gigabyte H310M DS2V 8th Gen Motherboard,https://www.startech.com.bd/gigabyte-h310m-ds2v-motherboard,"6,800",Gigabyte
Asrock B360M-HDV 8th Gen DDR4 Motherboard,https://www.startech.com.bd/asrock-b360m-hdv-motherboard,"7,300",Asrock
ASUS H61M-K,https://www.startech.com.bd/asus-h61m-k,"6,400",ASUS
Gigabyte H310M H 8th Gen Micro ATX Motherboard,https://www.startech.com.bd/gigabyte-h310m-h-8th-gen-motherboard,"6,800",Gigabyte
Asrock B450 Steel Legend AMD Motherboard,https://www.startech.com.bd/asrock-b450-steel-legend-motherboard,"11,000",Asrock
Asrock B450M Steel Legend AMD Motherboard,https://www.startech.com.bd/asrock-b450m-steel-legend-motherboard,"9,800",Asrock
Asrock H310M-G/M.2 8th Gen DDR4 Motherboard,https://www.startech.com.bd/asrock-h310m-g-m-2-motherboard,"7,300",Asrock
Asus EX-H310M-V3 8th Gen Micro-ATX Motherboard,https://www.startech.com.bd/asus-ex-h310m-v3-8th-gen-motherboard,"6,700",Asus
Gigabyte H310M S2P 8th Gen Micro ATX Motherboard,https://www.startech.com.bd/gigabyte-h310m-s2p-8th-gen-motherboard,"6,800",Gigabyte
Asus PRIME H310M-K 8th Gen mATX Motherboard,https://www.startech.com.bd/asus-prime-h310m-k-8th-gen-motherboard,"6,700",Asus
Asus ROG MAXIMUS XI FORMULA 9th Gen Motherboard,https://www.startech.com.bd/asus-rog-maximus-xi-formula-9th-gen-motherboard,"40,000",Asus
Gigabyte B450M DS3H AM4 AMD Micro ATX Motherboard,https://www.startech.com.bd/gigabyte-b450m-ds3h-amd-motherboard,"8,000",Gigabyte
GIGABYTE GA-J1800M-D3P Motherboard with Built In 2.41Ghz DDR3 Celeron Processor,https://www.startech.com.bd/gigabyte-ga-j1800m-d3p,"5,100",GIGABYTE
Gigabyte H310M DS2 8th Gen Micro ATX Motherboard,https://www.startech.com.bd/gigabyte-h310m-ds2-8th-gen-motherboard,"7,000",Gigabyte
Asrock B365M Pro4 9th Gen Motherboard,https://www.startech.com.bd/asrock-b365m-pro4-motherboard,"8,700",Asrock
Asrock X370 Killer SLI AMD Motherboard,https://www.startech.com.bd/asrock-x370-killer-sli-amd-motherboard,"9,700",Asrock
Gigabyte GA-H110M-M.2 DDR4,https://www.startech.com.bd/gigabyte-ga-h110m-m.2-ddr4-motherboard,"5,800",Gigabyte
Gigabyte H310M S2 8th Gen Micro ATX Motherboard,https://www.startech.com.bd/gigabyte-h310m-s2-8th-gen-motherboard,"7,000",Gigabyte
Asus PRIME H310M-C/CSM 8th Gen Micro-ATX Motherboard,https://www.startech.com.bd/asus-prime-h310m-c-csm-8th-gen-motherboard,"7,000",Asus
Gigabyte B360M D2V 8th Gen Motherboard,https://www.startech.com.bd/gigabyte-b360m-d2v-motherboard,"7,600",Gigabyte
Asrock Fatal1ty B450 Gaming K4 AMD Motherboard,https://www.startech.com.bd/asrock-fatal1ty-b450-gaming-k4-amd-motherboard,"10,500",Asrock
Gigabyte B360M D3V 8th Gen Motherboard,https://www.startech.com.bd/gigabyte-b360m-d3v-motherboard,"7,800",Gigabyte
