product_name,link,startech_rice,brand
AMD Ryzen 3 1200 True Quad Core Processor,https://www.startech.com.bd/amd-ryzen-3-1200-true-quad-core-processor,"7,200",AMD
AMD Ryzen 3 1300X True Quad Core Processor,https://www.startech.com.bd/amd-ryzen-3-1300x-processor,"10,200",AMD
AMD Ryzen 3 2200G Quad-Core Processor With Radeon Vega 8 Graphics,https://www.startech.com.bd/amd-ryzen-3-2200g-processor,"8,200",AMD
Intel Pentium Gold G5400 8th Gen Processor,https://www.startech.com.bd/intel-pentium-gold-g5400-8th-gen-processor,"7,000",Intel
AMD RYZEN 5 1400 4-Core 3.2GHz Turbo Core Speed 3.4GHz Processor,https://www.startech.com.bd/amd-ryzen-5-1400,"13,500",AMD
Intel 7th Generation Pentium Processor G4560,https://www.startech.com.bd/intel-7th-gen-pentium-processor-g4560,"7,800",Intel
AMD Ryzen 5 2400G Desktop Processor with Radeon RX Vega 11 Graphics,https://www.startech.com.bd/amd-ryzen-5-2400g-processor,"13,000",AMD
Intel 8th Generation Core i3-8100 Processor,https://www.startech.com.bd/intel-8th-gen-core-i3-8100-processor,"11,000",Intel
Intel 7th Generation Core i3-7100 Processor,https://www.startech.com.bd/intel-7th-gen-core-i3-7100-processor,"12,200",Intel
AMD Ryzen 5 2600 Processor,https://www.startech.com.bd/amd-ryzen-5-2600-processor,"15,500",AMD
Intel 9th Gen Core i5 9400F Processor,https://www.startech.com.bd/intel-core-i5-9400f-processor,"15,200",Intel
Intel 7th Generation Core i5-7400 Processor,https://www.startech.com.bd/intel-core-i5-7400,"16,500",Intel
AMD Ryzen 5 1500X Processor,https://www.startech.com.bd/amd-ryzen-5-1500x-processor,"13,900",AMD
AMD Ryzen 5 1600X Processor,https://www.startech.com.bd/amd-ryzen-5-1600x-processor,"17,400",AMD
AMD Ryzen 5 2600X Processor,https://www.startech.com.bd/amd-ryzen-5-2600x-processor,"19,000",AMD
Intel 8th Generation Core i5-8400 Processor,https://www.startech.com.bd/intel-8th-gen-core-i5-8400-processor,"17,500",Intel
Intel Core i5-7640X X-series Kaby Lake Processor,https://www.startech.com.bd/intel-core-i5-7640x-x-series,"20,800",Intel
AMD Ryzen 7 1700 Desktop Processor,https://www.startech.com.bd/amd-ryzen-7-1700-desktop-processor,"23,400",AMD
AMD Ryzen 7 1700X AM4 Turbo Desktop Processor ,https://www.startech.com.bd/amd-ryzen-7-1700x-desktop-processor ,"26,500",AMD
AMD Ryzen 7 2700 Desktop Processor,https://www.startech.com.bd/amd-ryzen-7-2700-processor,"27,000",AMD
Intel 9th Generation Core i5-9600K Processor,https://www.startech.com.bd/intel-core-i5-9600k-processor,"23,500",Intel
AMD RYZEN 7 1800X Desktop Processor,https://www.startech.com.bd/amd-ryzen-7-1800x-desktop-processor,"28,000",AMD
AMD Ryzen 7 2700X Processor,https://www.startech.com.bd/amd-ryzen-7-2700x-processor,"28,300",AMD
Intel® 7th Generation Core™ i7-7700 Processor,https://www.startech.com.bd/intel-7th-gen-core-i7-7700,"28,500",Intel®
AMD Ryzen Threadripper 1900X 8-core/16 thread Desktop Processor,https://www.startech.com.bd/amd-ryzen-threadripper-1900x,"43,500",AMD
AMD Ryzen Threadripper 1920X 12-core/24-thread Desktop Processor,https://www.startech.com.bd/amd-ryzen-threadripper-1920x-processor,"45,000",AMD
AMD Athlon 200GE AM4 Socket Desktop Processor with Radeon Vega 3 Graphics,https://www.startech.com.bd/amd-athlon-200ge-processor,"5,500",AMD
Intel 8th Generation Core i7-8700 Processor,https://www.startech.com.bd/intel-8th-gen-i7-8700-processor,"28,300",Intel
Intel 8th Generation Core i7-8700K Processor,https://www.startech.com.bd/intel-8th-gen-i7-8700k,"33,500",Intel
Intel 9th Generation Core i7-9700K Processor,https://www.startech.com.bd/intel-core-i7-9700k-processor,"36,500",Intel
AMD Ryzen Threadripper 1950X 16-core/32-thread Desktop Processor,https://www.startech.com.bd/amd-ryzen-threadripper-1950x-processor,"71,500",AMD
AMD Ryzen Threadripper 2970WX 3.0GHz-4.2GHz  24 Core Processor,https://www.startech.com.bd/amd-ryzen-2970wx-processor ,0,AMD
AMD Ryzen Threadripper 2990WX 3.0GHz-4.2GHz 32 Core Processor,https://www.startech.com.bd/amd-ryzen-2990wx-processor ,0,AMD
Intel 9th generation Core i9-9900K Processor,https://www.startech.com.bd/intel-core-i9-9900k-processor,"46,000",Intel
Intel 6th Generation Core i7-6900K Processor,https://www.startech.com.bd/intel-i7-6900k,"80,500",Intel
Intel Core i7 9800x X-series Skylake Processor,https://www.startech.com.bd/Intel-Core-i7-9800x-processor,"80,800",Intel
Intel Core i9 7900x X-series Skylake Processor,https://www.startech.com.bd/intel-core-i9-7900x-x-series,"80,800",Intel
Intel 6th Generation Pentium Processor G4400,https://www.startech.com.bd/intel-6th-generation-pentium-processor-g4400,"7,000",Intel
Intel 8th Generation Core i5-8500 Processor,https://www.startech.com.bd/intel-core-i5-8500-processor,"23,200",Intel
Intel 8th Generation Core i5-8600k Processor,https://www.startech.com.bd/intel-8600k-i5-processor,"23,600",Intel
Intel® 7th Generation Core™ i5-7500 Processor,https://www.startech.com.bd/intel-7th-generation-core-i5-processor,"17,500",Intel®
