product_name,link,startech_rice,brand
ADATA 4GB DDR3 1600 BUS Low Voltage,https://www.startech.com.bd/adata-4gb-ddr3-1600-bus,"1,800",ADATA
Corsair Vengeance® LPX 4GB (1x4GB) DDR4 DRAM 2400MHz,https://www.startech.com.bd/Corsair-Vengeance-LPX-4GB,"2,400",Corsair
Geil 4GB 1600mhz DDR3 Desktop Ram,https://www.startech.com.bd/geil-4gb-1600mhz-ddr3-desktop-ram,"1,700",Geil
Gigabyte 8GB DDR4 2666MHz Heatsink Desktop Ram,https://www.startech.com.bd/gigabyte-8gb-ddr4-2666mhz-ram,"5,100",Gigabyte
HP 8GB (1x8GB) DDR3-1600 ECC Reg RAM,https://www.startech.com.bd/hp-8gb--1x8gb--ddr3-1600-ecc-reg-ram,"13,100",HP
Kingston DDR4 2400MHz 4GB Ram,https://www.startech.com.bd/kingston-hyperx-fury-4gb-ram,"2,600",Kingston
PATRIOT DDR-4 4GB-2400MHz Desktop RAM,https://www.startech.com.bd/patriot-ddr-4-4gb,"2,300",PATRIOT
Team 4 GB Elite Plus U-DIMM DDR4 Desktop Ram,https://www.startech.com.bd/team-4gb-elite-plus-ram,"2,800",Team
Transcend 4GB DDR3 1333 MHz Desktop RAM,https://www.startech.com.bd/transcend-4gb-ddr3,"2,000",Transcend
TwinMOS 4GB DDR3 1600MHz,https://www.startech.com.bd/twinmos-4gb-ddr3-1600mhz,"2,000",TwinMOS
Corsair Vengeance LPX 8GB DDR4 DRAM 2400MHz,https://www.startech.com.bd/Corsair-Vengeance-LPX-8GB,"4,400",Corsair
GeIL PRISTINE 4GB 2400MHz DDR4 RAM,https://www.startech.com.bd/geil-pristine-4gb-ram,"2,100",GeIL
HP 8GB (1x8GB) DDR3-1866 ECC RAM,https://www.startech.com.bd/hp-8gb--1x8gb--ddr3-1866-ecc-ram,"13,100",HP
Intel Optane Memory Module 32 GB PCIe M.2 80mm,https://www.startech.com.bd/intel-optane-32gb-ram,"7,000",Intel
PATRIOT 8GB DDR4 2400MHz Desktop RAM,https://www.startech.com.bd/patriot-ddr-4-8gb,"4,100",PATRIOT
TwinMOS 4GB DDR4 2400MHz Desktop RAM,https://www.startech.com.bd/twinmos-4gb-ddr4-2400mhz,"2,400",TwinMOS
Adata 8 GB DDR4 2400 BUS Desktop Ram,https://www.startech.com.bd/adata-8gb-ddr4-2400-bus-ram,"4,100",Adata
Corsair Vengeance LPX 8GB 3200MHz DDR4 Desktop RAM,https://www.startech.com.bd/corsair-vengeance-lpx-8gb-3200mhz,"5,000",Corsair
Geil Evo Spear 4GB DDR4 2666 MHz Ram  ,https://www.startech.com.bd/geil-evo-spear-4gb-ddr4-2666-mhz-ram  ,"2,400",Geil
HP 8GB (1x8GB) DDR4-2133 ECC Reg RAM,https://www.startech.com.bd/hp-8gb--1x8gb--ddr4-2133-ecc-reg-ram,"14,100",HP
Patriot 8GB DDR4 2666MHz Desktop Ram,https://www.startech.com.bd/patriot-8gb-ddr4-2666mhz-ram,"4,200",Patriot
Adata 8GB DDR3 1600 Mhz Ram,https://www.startech.com.bd/adata-8gb-ddr3-1600-bus,"4,300",Adata
Geil Evo Spear 4GB DDR4- 2400MHz Ram  ,https://www.startech.com.bd/geil-evo-spear-4gb-ram,"2,200",Geil
Corsair 8GB DDR4 3200 MHZ Dominator Platinum Ram,https://www.startech.com.bd/corsair-8gb-dominator-ram,"7,700",Corsair
Corsair Vengeance® LPX 16GB DDR4 DRAM 3200MHz Ram,https://www.startech.com.bd/corsair-16gb-3200mhz-ram,"8,500",Corsair
GeIL Super Luce DDR4-2400MHz 4GB Desktop RAM (Red light),https://www.startech.com.bd/geil-super-luce-ddr4-2400mhz-4gb-red-light,"2,500",GeIL
Corsair 16GB DDR4 3200 MHZ Dominator Platinum Ram,https://www.startech.com.bd/corsair-16gb-ddr4-dominator-platinum-ram,"11,700",Corsair
GeIL PRISTINE 8GB 2400MHz DDR4 RAM,https://www.startech.com.bd/geil-pristine-8gb-ram,"3,900",GeIL
GEIL EVO SPEAR 8GB 2400MHz DDR-4 Single Channel RAM,https://www.startech.com.bd/geil-evo-spear-8gb-2400mhz,"4,100",GEIL
GEIL EVO SPEAR 8GB 2666MHz DDR4 Single Channel Ram,https://www.startech.com.bd/geil-evo-spear-8gb-2666-mhz-ddr4-ram,"4,200",GEIL
GEIL Evo Spear 8GB 3200 MHz RAM,https://www.startech.com.bd/geil-evo-spear-8gb-ram,"5,100",GEIL
Geil Super Luce 8GB DDR4 3200MHz RGB Sync Ram,https://www.startech.com.bd/geil-super-luce-8gb-ram,"5,800",Geil
GEIL Evo Spear 16gb 2400 MHz Ram,https://www.startech.com.bd/geil-evo-spear-16gb-2400mhz-ram,"7,500",GEIL
GEIL Evo Spear 16GB 3200 MHz Ram,https://www.startech.com.bd/geil-evo-spear-16gb-3200-mhz-ram,"8,500",GEIL
GeIL Evo Spear AMD Edition 16GB DDR4 3200MHz RAM,https://www.startech.com.bd/geil-evo-spear-amd-8gb-ddr4-3200mhz-ram,"10,200",GeIL
Geil Super Luce 16GB DDR4 3200MHz RGB Sync Ram,https://www.startech.com.bd/geil-super-luce-16gb-3200mhz-sync-ram,"10,200",Geil
Adata 4GB DDR4 2400MHz Premier Series Ram,https://www.startech.com.bd/adata-4gb-ddr4-2400mhz-ram,"2,500",Adata
GeIL EVO POTENZA 8GB DDR4 3200MHz Single Channel Ram,https://www.startech.com.bd/geil-evo-potenza-ddr4-3200mhz,"7,400",GeIL
Gigabyte AORUS RGB Memory 8GB 3200MHz,https://www.startech.com.bd/gigabyte-aorus-rgb-8gb-ddr4-ram,"7,000",Gigabyte
Kingston 4GB DDR3 1600 MHz RAM,https://www.startech.com.bd/kingston-4gb-ddr3-1600bus-ram,"3,100",Kingston
Patriot 4GB DDR3 1600 Bus Desktop Ram,https://www.startech.com.bd/patriot-4gb-ddr3-1600-bus-ram,"2,650",Patriot
Team 4 GB Elite U-DIMM DDR4 Desktop Ram,https://www.startech.com.bd/team-4gb-elite-ddr4-desktop-ram,"3,100",Team
Transcend 4GB DDR4 2400 Mhz Desktop Ram,https://www.startech.com.bd/transcend-4gb-ddr4-2400-mhz-ram,"3,850",Transcend
TwinMOS 2GB DDR3 1333 MHz,https://www.startech.com.bd/twinmos-2gb-ddr3-1333mhz,"1,400",TwinMOS
Adata 8 GB DDR4 2666 BUS Desktop Ram,https://www.startech.com.bd/adata-8gb-ddr4-2666-mhz-ram,"4,500",Adata
Geil Super Luce 8GB DDR4 3600MHz RGB Sync Ram,https://www.startech.com.bd/geil-super-luce-8gb-3600mhz-ram,"8,000",Geil
Patriot 8GB DDR3 1600 Bus Desktop Ram,https://www.startech.com.bd/patriot-8gb-ddr3-1600-bus-ram,"5,800",Patriot
Silicon Power 4GB DDR3 1600 Bus Ram ,https://www.startech.com.bd/silicon-power-4gb-ddr3-1600-bus-ram ,"3,400",Silicon
Team Elite 8GB DDR4 2400Mhz Desktop RAM,https://www.startech.com.bd/team-elite-8gb-ddr4,"7,000",Team
TwinMOS 2GB DDR3 1600 MHz,https://www.startech.com.bd/twinmos-2gb-ddr3-1600-mhz,"1,500",TwinMOS
Silicon Power 4GB DDR4 2400 Bus Ram ,https://www.startech.com.bd/silicon-power-4gb-ddr4-2400-bus-ram ,"4,200",Silicon
Team Elite 8GB DDR3 (1x8GB) 1600Mhz Desktop RAM,https://www.startech.com.bd/team-elite-8-ddr3,"7,500",Team
Adata Gammix D10 8GB DDR4 2400 BUS Desktop RAM,https://www.startech.com.bd/adata-gammix-d10-8gb-ddr4-desktop-ram,"6,500",Adata
